,text,retweet_count,favorite_count,created_at,preprocessed_text,sentiment_neg,sentiment_pos,sentiment_neutral,sentiment,sentiment_group,ORG_entities,GPE_entities,Topic,x,y,topic_color
3510,Tune in this evening on @KTNNewsKE at 10 PM 🕙 to follow the insightful conversation with @moses_mnderitu hosted by @EricLatiff on the industry outlook of electric motorbikes aka boda bodas in Kenya 🏍️ 🔋. #Emobility https://t.co/P5g1RLpEOp,5,23,2023-06-06 17:02:29+00:00,"['tune', 'evening', 'ktnnewske', '10', 'pm', '🕙', 'follow', 'insightful', 'conversation', 'mosesmnderitu', 'hosted', 'ericlatiff', 'industry', 'outlook', 'electric', 'motorbike', 'aka', 'boda', 'bodas', 'kenya', '🏍️', '🔋', 'emobility']",0.0,0.0,1.0,0.0,Neutral,[],[],11,-2.381171,-3.0926142,"(47, 179, 91)"
3511,We’re proud to witness our president @williamsamoeiruto and the Government of Kenya laying the foundation for a greener future through a stronger focus on #emobility.⚡ https://t.co/H0XjJARQyc,4,15,2023-06-03 09:21:28+00:00,"['’', 'proud', 'witness', 'president', 'williamsamoeiruto', 'government', 'kenya', 'laying', 'foundation', 'greener', 'future', 'stronger', 'focus', 'emobility⚡']",0.0,0.341,0.659,0.6908,Positive,[],['kenya'],11,-2.4653537,-3.0181472,"(47, 179, 91)"
3512,"The President announced plans to introduce electric motorcycles in September. The e-mobility ecosystem in Kenya is growing rapidly so this is definitely a possibility with players such as Roam which inaugurated a massive plant in Nairobi, the largest of its kind in Africa. https://t.co/jzLhQ5pDgU",4,15,2023-06-07 09:53:39+00:00,"['president', 'announced', 'plan', 'introduce', 'electric', 'motorcycle', 'september', 'emobility', 'ecosystem', 'kenya', 'growing', 'rapidly', 'definitely', 'possibility', 'player', 'roam', 'inaugurated', 'massive', 'plant', 'nairobi', 'largest', 'kind', 'africa']",0.0,0.281,0.719,0.7783,Positive,[],"['kenya', 'nairobi']",11,-2.4103594,-3.0530734,"(47, 179, 91)"
3513,"President William Ruto is leading the charge toward a fossil fuel-free future! Speaking at Serena Hotel, Nairobi, President William Ruto has an electrifying plan to reduce the consumption of Diesel, Petrol, and Kerosene and join the electric revolution with E-mobility. ⚡️ https://t.co/6DuyhlKGnB",4,9,2023-06-03 11:09:40+00:00,"['president', 'william', 'ruto', 'leading', 'charge', 'toward', 'fossil', 'fuelfree', 'future', 'speaking', 'serena', 'hotel', 'nairobi', 'president', 'william', 'ruto', 'electrifying', 'plan', 'reduce', 'consumption', 'diesel', 'petrol', 'kerosene', 'join', 'electric', 'revolution', 'emobility', '⚡️']",0.0,0.075,0.925,0.296,Positive,[],['nairobi'],11,-2.3094091,-3.151924,"(47, 179, 91)"
3514,RT @EvChaja: We’re proud to witness our president @williamsamoeiruto and the Government of Kenya laying the foundation for a greener future…,4,0,2023-06-05 11:24:23+00:00,"['rt', 'evchaja', '’', 'proud', 'witness', 'president', 'williamsamoeiruto', 'government', 'kenya', 'laying', 'foundation', 'greener', 'future…']",0.0,0.22,0.78,0.4767,Positive,[],['kenya'],11,-2.4544446,-3.0430582,"(47, 179, 91)"
3515,"RT @BasiGoKenya: Our mission to create the future of clean, electric public transport in Africa is well underway! We are always excited to…",4,0,2023-06-03 12:45:03+00:00,"['rt', 'basigokenya', 'mission', 'create', 'future', 'clean', 'electric', 'public', 'transport', 'africa', 'well', 'underway', 'always', 'excited', 'to…']",0.0,0.458,0.542,0.8074,Positive,[],[],11,-2.1568918,-3.2679482,"(47, 179, 91)"
3516,RT @farhiyaabass: The President announced plans to introduce electric motorcycles in September. The e-mobility ecosystem in Kenya is growin…,4,0,2023-06-07 19:23:55+00:00,"['rt', 'farhiyaabass', 'president', 'announced', 'plan', 'introduce', 'electric', 'motorcycle', 'september', 'emobility', 'ecosystem', 'kenya', 'growin…']",0.0,0.0,1.0,0.0,Neutral,[],['kenya'],11,-2.3925571,-3.078502,"(47, 179, 91)"
3517,"RT @ARC_ride_global: President William Ruto is leading the charge toward a fossil fuel-free future! Speaking at Serena Hotel, Nairobi, Pres…",4,0,2023-06-04 14:38:35+00:00,"['rt', 'arcrideglobal', 'president', 'william', 'ruto', 'leading', 'charge', 'toward', 'fossil', 'fuelfree', 'future', 'speaking', 'serena', 'hotel', 'nairobi', 'pres…']",0.0,0.0,1.0,0.0,Neutral,[],['nairobi'],11,-2.3069937,-3.1415894,"(47, 179, 91)"
3518,"Our vision of a #sustainable transportation future aligns perfectly with President @WilliamsRuto 's commitment to introduce tax incentives for #emobility. This will pave the way for accelerated development of electric mobility in Kenya. 
Watch more here: https://t.co/0wYosRbBLH",2,7,2023-06-05 14:37:48+00:00,"['vision', 'sustainable', 'transportation', 'future', 'aligns', 'perfectly', 'president', 'williamsruto', 'commitment', 'introduce', 'tax', 'incentive', 'emobility', 'pave', 'way', 'accelerated', 'development', 'electric', 'mobility', 'kenya', 'watch']",0.0,0.399,0.601,0.8834,Positive,['vision sustainable transportation future aligns'],['kenya'],11,-2.3704517,-3.1267724,"(47, 179, 91)"
3519,"@CarolmNyaga @julishwa We are being told to establish e-mobility, introduce carbon tax, plant trees (we are introducing monocultures which have a negative impact on our biodiversity). Kenya the perfect experiment for the West",2,6,2023-06-04 08:48:00+00:00,"['carolmnyaga', 'julishwa', 'told', 'establish', 'emobility', 'introduce', 'carbon', 'tax', 'plant', 'tree', 'introducing', 'monoculture', 'negative', 'impact', 'biodiversity', 'kenya', 'perfect', 'experiment', 'west']",0.152,0.152,0.697,0.0,Neutral,['carolmnyaga julishwa'],['kenya'],11,-2.3349025,-3.1271753,"(47, 179, 91)"
